Height,Gender,Weight
73.84701702,Male,241.8935632
68.78190405,Male,162.3104725
74.11010539,Male,212.7408556
71.7309784,Male,220.0424703
69.88179586,Male,206.3498006
67.25301569,Male,152.2121558
68.78508125,Male,183.9278886
68.34851551,Male,167.9711105
67.01894966,Male,175.9294404
63.45649398,Male,156.3996764
71.19538228,Male,186.6049256
71.64080512,Male,213.7411695
64.76632913,Male,167.1274611
69.2830701,Male,189.4461814
69.24373223,Male,186.434168
67.6456197,Male,172.1869301
72.41831663,Male,196.0285063
63.97432572,Male,172.8834702
69.6400599,Male,185.9839576
67.93600485,Male,182.426648
67.91505019,Male,174.1159291
69.43943987,Male,197.7314216
66.14913196,Male,149.173566
75.20597361,Male,228.7617806
67.89319634,Male,162.0066518
68.1440328,Male,192.3439766
69.08963143,Male,184.4351744
72.80084352,Male,206.8281894
67.42124228,Male,175.2139224
68.49641536,Male,154.3426389
68.61811055,Male,187.5068432
74.03380762,Male,212.9102253
71.52821604,Male,195.0322432
69.1801611,Male,205.1836213
69.57720237,Male,204.1641255
70.40092889,Male,192.9035151
69.07617117,Male,197.4882426
67.19352328,Male,183.8109732
65.80731565,Male,163.8518249
64.30418789,Male,163.1080171
67.97433623,Male,172.1355974
72.18942596,Male,194.0454049
65.27034552,Male,168.6177462
66.09017738,Male,161.1934326
67.51032152,Male,164.6602773
70.10478626,Male,188.9223032
68.25183644,Male,187.0605522
72.17270912,Male,209.0708634
69.17985762,Male,192.0143354
72.87036015,Male,211.3424968
64.78258298,Male,165.6116262
70.18354989,Male,201.0719181
68.49145025,Male,173.4239603
67.33083088,Male,181.4076793
66.99094408,Male,169.7377074
66.4995499,Male,163.3095283
68.35305665,Male,189.7102099
70.77445907,Male,192.1248473
71.21592367,Male,198.1984641
70.01336535,Male,209.5264998
71.40318222,Male,198.7597927
69.55200509,Male,198.0795237
73.81853456,Male,195.2906122
66.99688275,Male,164.943303
71.41846589,Male,179.8639023
65.27930021,Male,155.2504207
68.27419147,Male,184.5193912
72.76536995,Male,220.6780415
68.0993798,Male,183.3126553
68.89670607,Male,196.4513123
69.28950996,Male,184.5956083
70.52322452,Male,207.5328385
69.66372523,Male,177.2009288
67.59526881,Male,163.1080022
72.50812038,Male,216.2182301
71.2529856,Male,204.6554938
71.80918689,Male,200.9205712
72.24516548,Male,220.9017699
66.51262766,Male,196.4498603
66.029034,Male,168.64081
67.57715394,Male,181.432713
68.2465686,Male,198.6586733
73.826127,Male,237.9167359
69.80246436,Male,173.0412559
65.95957778,Male,160.6839166
71.07901758,Male,188.6029191
66.59619654,Male,208.345694
68.95153509,Male,193.4351185
68.24446179,Male,174.1096938
72.31682512,Male,197.3685892
71.81542045,Male,201.6206667
65.23704952,Male,181.0119732
70.64053009,Male,182.122486
64.7319256,Male,177.5492634
67.10355118,Male,164.9745807
65.11748489,Male,165.7171122
71.70123402,Male,193.0941635
66.83287821,Male,180.683887
66.47127526,Male,172.7737229
69.41152622,Male,177.4706162
70.05217747,Male,200.8187373
66.74360465,Male,167.7397753
66.27432912,Male,154.3956248
68.32844799,Male,177.9847286
70.0758882,Male,183.938857
68.73298815,Male,179.2047821
67.55605126,Male,158.5679874
66.25363253,Male,166.5035316
69.18220268,Male,171.9836776
67.60910494,Male,174.3641824
69.29273802,Male,187.7453519
68.19068401,Male,201.4879624
71.6070858,Male,204.9270121
69.19685751,Male,178.6855465
67.26196098,Male,164.0144277
73.6851934,Male,223.2700044
69.53721501,Male,202.9583063
68.31155984,Male,189.3917856
67.73896347,Male,178.1705556
71.7057626,Male,223.2993352
63.6322646,Male,167.0287067
68.72119846,Male,180.468682
66.94934165,Male,164.4391456
62.70698974,Male,149.9696184
72.25840892,Male,192.9102666
70.90865306,Male,201.8839987
67.6098436,Male,179.868026
70.80155896,Male,196.4677247
69.30476905,Male,187.5516495
66.24289834,Male,171.6931597
67.49219298,Male,191.6996048
65.80624829,Male,165.8506478
71.44370566,Male,185.6627413
68.46440582,Male,178.2818007
63.9879246,Male,150.9790513
71.00189769,Male,209.9293234
68.13972419,Male,174.1578043
68.39540025,Male,179.8789771
68.09621975,Male,167.7471412
68.14059036,Male,183.0446604
68.86009031,Male,169.5568208
66.14885254,Male,173.4316727
66.20603205,Male,180.8895546
67.43212021,Male,183.5089329
69.47110603,Male,205.9779102
70.51585969,Male,183.7598452
71.33837604,Male,201.9544955
71.00194477,Male,216.1200947
66.20234771,Male,159.3903237
72.54330705,Male,210.3364247
67.47935176,Male,178.6183502
65.35041056,Male,146.7397976
70.84406242,Male,195.937015
69.93847526,Male,170.1758538
64.73981548,Male,169.6540541
69.30840288,Male,198.3786936
68.83846286,Male,179.9077169
61.93732327,Male,147.2636865
68.59333554,Male,176.9842511
65.21857558,Male,185.4677884
64.33364811,Male,177.4938023
68.7489067,Male,169.8274774
